	cuisines	property_title	ranking	review_count	url2
25	['Italian', 'French', 'International', 'Argentinean', 'South American', 'Arabic']	Clemance Restaurant	#26 of 545 Restaurants in Amman	20 reviews 	/Restaurant_Review-g293986-d12242637-Reviews-Clemance_Restaurant-Amman_Amman_Governorate.html
26	['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options']	Yoshi	#27 of 545 Restaurants in Amman	144 reviews 	/Restaurant_Review-g293986-d1483307-Reviews-Yoshi-Amman_Amman_Governorate.html
27	['International', 'Vegetarian Friendly']	Off The Record	#28 of 545 Restaurants in Amman	29 reviews 	/Restaurant_Review-g293986-d11805115-Reviews-Off_The_Record-Amman_Amman_Governorate.html
28	['Japanese', 'Sushi', 'Asian']	Vinaigrette	#29 of 545 Restaurants in Amman	138 reviews 	/Restaurant_Review-g293986-d3172067-Reviews-Vinaigrette-Amman_Amman_Governorate.html
29	['Italian', 'European', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']	Gusto	#30 of 545 Restaurants in Amman	39 reviews 	/Restaurant_Review-g293986-d10148621-Reviews-Gusto-Amman_Amman_Governorate.html
30	['American', 'Barbecue']	Brisket	#1 of 545 Restaurants in Amman	268 reviews 	/Restaurant_Review-g293986-d7267482-Reviews-Brisket-Amman_Amman_Governorate.html
31	['Pizza', 'Arabic', 'Halal', 'Gluten Free Options']	Pizza Roma Cafe	#2 of 545 Restaurants in Amman	300 reviews 	/Restaurant_Review-g293986-d3389330-Reviews-Pizza_Roma_Cafe-Amman_Amman_Governorate.html
32	['Middle Eastern', 'Halal']	Habibah Sweets	#3 of 545 Restaurants in Amman	665 reviews 	/Restaurant_Review-g293986-d2084697-Reviews-Habibah_Sweets-Amman_Amman_Governorate.html
33	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Halal', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']	Fakhreldin Restaurant	#4 of 545 Restaurants in Amman	787 reviews 	/Restaurant_Review-g293986-d1371269-Reviews-Fakhreldin_Restaurant-Amman_Amman_Governorate.html
34	['Mediterranean', 'Middle Eastern', 'Halal', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']	Sufra Restaurant	#5 of 545 Restaurants in Amman	701 reviews 	/Restaurant_Review-g293986-d2406112-Reviews-Sufra_Restaurant-Amman_Amman_Governorate.html
35	['Steakhouse', 'American', 'International']	V Lounge & Restaurant	#6 of 545 Restaurants in Amman	57 reviews 	/Restaurant_Review-g293986-d3989474-Reviews-V_Lounge_Restaurant-Amman_Amman_Governorate.html
36	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Halal', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']	Tawaheen al-Hawa	#7 of 545 Restaurants in Amman	713 reviews 	/Restaurant_Review-g293986-d1641029-Reviews-Tawaheen_al_Hawa-Amman_Amman_Governorate.html
37	['American', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']	Chestnut Restaurant & Pub	#8 of 545 Restaurants in Amman	283 reviews 	/Restaurant_Review-g293986-d7761403-Reviews-Chestnut_Restaurant_Pub-Amman_Amman_Governorate.html
38	['Fast Food', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']	Hashem	#9 of 545 Restaurants in Amman	1,361 reviews 	/Restaurant_Review-g293986-d1918356-Reviews-Hashem-Amman_Amman_Governorate.html
