,latitude,longitude,name
0,31.952438,35.937958,Pizza Roma Cafe
1,31.963032,35.89816,Brisket
2,31.951878,35.9332,Habibah Sweets
3,31.952278,35.92017,Fakhreldin Restaurant
4,31.94924,35.929058,Sufra Restaurant
5,31.992243,35.866783,Tawaheen al-Hawa
6,31.952156,35.91342,Chestnut Restaurant & Pub
7,31.961784,35.8701,V Lounge & Restaurant
8,31.952234,35.93188,Hashem
9,31.953451,35.884483,Melograno
10,31.987595,35.866623,Abu Jbara
11,31.94937,35.92642,Al-Quds
12,31.956652,35.94576,Beit Sitti
13,31.951536,35.93099,Wild Jordan Center
14,31.952919,35.903458,Lucca Steakhouse
15,31.953556,35.914356,Burj Al Hamam
16,31.845284,35.91387,Kan Zamaan
17,31.952505,35.907158,Levant
18,31.941225,35.888035,Levant Restaurant
19,31.95136,35.916283,Rosa Damascena
20,31.952257,35.93196,Hashim Restaurant
21,31.948015,35.931316,Books at Cafe
22,31.96674,35.87306,Tannoureen
23,31.991304,35.865364,Reem albawadi
24,31.952566,35.9041,Yoshi
25,31.965462,35.901966,Gusto
26,31.946836,35.878162,Clemance Restaurant
27,31.973347,35.90616,IL Terrazzo Amman Restaurant
28,31.973473,35.89811,Vinaigrette
29,31.952627,35.93221,Al-Quds Restaurant
30,31.952438,35.937958,Pizza Roma Cafe
31,31.963032,35.89816,Brisket
32,31.951878,35.9332,Habibah Sweets
33,31.952278,35.92017,Fakhreldin Restaurant
34,31.94924,35.929058,Sufra Restaurant
35,31.992243,35.866783,Tawaheen al-Hawa
36,31.952156,35.91342,Chestnut Restaurant & Pub
37,31.961784,35.8701,V Lounge & Restaurant
38,31.952234,35.93188,Hashem
39,31.953451,35.884483,Melograno
40,31.987595,35.866623,Abu Jbara
41,31.94937,35.92642,Al-Quds
42,31.956652,35.94576,Beit Sitti
43,31.951536,35.93099,Wild Jordan Center
44,31.952919,35.903458,Lucca Steakhouse
45,31.953556,35.914356,Burj Al Hamam
46,31.845284,35.91387,Kan Zamaan
47,31.952505,35.907158,Levant
48,31.941225,35.888035,Levant Restaurant
49,31.95136,35.916283,Rosa Damascena
50,31.952257,35.93196,Hashim Restaurant
51,31.948015,35.931316,Books at Cafe
52,31.96674,35.87306,Tannoureen
53,31.991304,35.865364,Reem albawadi
54,31.952566,35.9041,Yoshi
55,31.965462,35.901966,Gusto
56,31.946836,35.878162,Clemance Restaurant
57,31.973347,35.90616,IL Terrazzo Amman Restaurant
58,31.973473,35.89811,Vinaigrette
59,31.952627,35.93221,Al-Quds Restaurant
60,31.952438,35.937958,Pizza Roma Cafe
61,31.963032,35.89816,Brisket
62,31.951878,35.9332,Habibah Sweets
63,31.952278,35.92017,Fakhreldin Restaurant
64,31.94924,35.929058,Sufra Restaurant
65,31.992243,35.866783,Tawaheen al-Hawa
66,31.952156,35.91342,Chestnut Restaurant & Pub
67,31.961784,35.8701,V Lounge & Restaurant
68,31.952234,35.93188,Hashem
69,31.953451,35.884483,Melograno
70,31.987595,35.866623,Abu Jbara
71,31.94937,35.92642,Al-Quds
72,31.956652,35.94576,Beit Sitti
73,31.951536,35.93099,Wild Jordan Center
74,31.952919,35.903458,Lucca Steakhouse
75,31.953556,35.914356,Burj Al Hamam
76,31.845284,35.91387,Kan Zamaan
77,31.952505,35.907158,Levant
78,31.941225,35.888035,Levant Restaurant
79,31.95136,35.916283,Rosa Damascena
80,31.952257,35.93196,Hashim Restaurant
81,31.948015,35.931316,Books at Cafe
82,31.96674,35.87306,Tannoureen
83,31.991304,35.865364,Reem albawadi
84,31.952566,35.9041,Yoshi
85,31.965462,35.901966,Gusto
86,31.946836,35.878162,Clemance Restaurant
87,31.973347,35.90616,IL Terrazzo Amman Restaurant
88,31.973473,35.89811,Vinaigrette
89,31.952627,35.93221,Al-Quds Restaurant
90,31.952438,35.937958,Pizza Roma Cafe
91,31.963032,35.89816,Brisket
92,31.951878,35.9332,Habibah Sweets
93,31.952278,35.92017,Fakhreldin Restaurant
94,31.94924,35.929058,Sufra Restaurant
95,31.992243,35.866783,Tawaheen al-Hawa
96,31.952156,35.91342,Chestnut Restaurant & Pub
97,31.961784,35.8701,V Lounge & Restaurant
98,31.952234,35.93188,Hashem
99,31.953451,35.884483,Melograno
100,31.987595,35.866623,Abu Jbara
101,31.94937,35.92642,Al-Quds
102,31.956652,35.94576,Beit Sitti
103,31.951536,35.93099,Wild Jordan Center
104,31.952919,35.903458,Lucca Steakhouse
105,31.953556,35.914356,Burj Al Hamam
106,31.845284,35.91387,Kan Zamaan
107,31.952505,35.907158,Levant
108,31.941225,35.888035,Levant Restaurant
109,31.95136,35.916283,Rosa Damascena
110,31.952257,35.93196,Hashim Restaurant
111,31.948015,35.931316,Books at Cafe
112,31.96674,35.87306,Tannoureen
113,31.991304,35.865364,Reem albawadi
114,31.952566,35.9041,Yoshi
115,31.965462,35.901966,Gusto
116,31.946836,35.878162,Clemance Restaurant
117,31.973347,35.90616,IL Terrazzo Amman Restaurant
118,31.973473,35.89811,Vinaigrette
119,31.952627,35.93221,Al-Quds Restaurant
120,31.952438,35.937958,Pizza Roma Cafe
121,31.963032,35.89816,Brisket
122,31.951878,35.9332,Habibah Sweets
123,31.952278,35.92017,Fakhreldin Restaurant
124,31.94924,35.929058,Sufra Restaurant
125,31.992243,35.866783,Tawaheen al-Hawa
126,31.952156,35.91342,Chestnut Restaurant & Pub
127,31.961784,35.8701,V Lounge & Restaurant
128,31.952234,35.93188,Hashem
129,31.953451,35.884483,Melograno
130,31.987595,35.866623,Abu Jbara
131,31.94937,35.92642,Al-Quds
132,31.956652,35.94576,Beit Sitti
133,31.951536,35.93099,Wild Jordan Center
134,31.952919,35.903458,Lucca Steakhouse
135,31.953556,35.914356,Burj Al Hamam
136,31.845284,35.91387,Kan Zamaan
137,31.952505,35.907158,Levant
